condition,arm,acc,acc_sd,auc,auc_sd,brier,brier_sd
native,Drop rows,0.8623188405797102,0.03272924576996005,0.9144357667159582,0.031295773292227894,0.10536338368928597,0.018778025273571038
native,Mean,0.863768115942029,0.03019227051594154,0.9217475265973694,0.027643772333729826,0.10260921947193898,0.016559648260746872
native,MICE,0.863768115942029,0.03019227051594154,0.9204283484057483,0.027298749939031128,0.10313853238072053,0.016698734279303785
native,FIML (MissLogistic),0.855072463768116,0.033988519998720525,0.9046268108856825,0.0430737781090223,0.1138547120179186,0.024642469501784777
native,FIML (MissBayes),0.7507246376811594,0.03768115942028986,0.8925596134222868,0.03214739392947776,0.2076861254744074,0.027323793896041608
amplified,Drop rows,0.8449275362318842,0.034173409050874196,0.8994987318061993,0.031460715422582386,0.11765557247696959,0.01838146854661626
amplified,Mean,0.8681159420289856,0.029842406205759408,0.9224681397257866,0.02575055550891792,0.10278054823218241,0.017059124631581653
amplified,MICE,0.8710144927536231,0.033802619680262616,0.9184726334368684,0.028408049482670887,0.10305684041520766,0.017530699806808447
amplified,FIML (MissLogistic),0.8623188405797102,0.03141954114301274,0.9044090292796074,0.0390136486649677,0.11156325000669828,0.023142095359674833
amplified,FIML (MissBayes),0.763768115942029,0.03768115942028988,0.8874933626311343,0.02951075811152784,0.19610279572667946,0.028386367990013116
