dataset,model_class,arm,auc,auc_sd,f1,brier
pima,Logistic regression,Drop rows,0.8326149545772188,0.024589894973054416,0.6117341422780681,0.1599176062181779
pima,Logistic regression,Drop cols,0.6935108315863033,0.05819932427003812,0.37406393606393606,0.20854594824023956
pima,Logistic regression,Mean imp.,0.8365087351502446,0.020704018882578903,0.6388290694281106,0.1569944137117351
pima,Logistic regression,kNN imp.,0.8382536687631028,0.02246599809660112,0.6409289548605829,0.15638976329446286
pima,Logistic regression,MICE,0.8372173305380851,0.021642338057202126,0.6394968104243748,0.15637536939547456
pima,Logistic regression,FIML (MissLogistic),0.8380754716981131,0.0223778345514632,0.6448942325511202,0.15684045529438498
pima,Generative Gaussian,Drop rows,0.7978993710691824,0.026278071043127904,0.608584648093334,0.21297593408227736
pima,Generative Gaussian,Drop cols,0.704304682040531,0.05290661832303447,0.44290312597389364,0.2195164645720351
pima,Generative Gaussian,Mean imp.,0.8114067085953878,0.03234561458294727,0.626756322761943,0.1874340843817775
pima,Generative Gaussian,kNN imp.,0.8191083158630329,0.027345715155855273,0.634842412651943,0.18675003459404277
pima,Generative Gaussian,MICE,0.8219392033542977,0.02747930499549457,0.6328852690279396,0.18608463808238387
pima,Generative Gaussian,FIML (MissBayes),0.8105807127882599,0.032488614223321784,0.6150432092179665,0.18162176336028746
pima,Support vector,Drop rows,0.8022770789657582,0.01262424007175965,0.609484753943965,0.16999638771193898
pima,Support vector,Drop cols,0.6652396925227114,0.049167801517287085,0.3275056465273857,0.21501597229954666
pima,Support vector,Mean imp.,0.8220754716981131,0.012832328327181813,0.6099963923519327,0.1647155759610089
pima,Support vector,kNN imp.,0.8207882599580714,0.014741449176122523,0.5987526968663361,0.16548378454704768
pima,Support vector,MICE,0.8244668064290706,0.011240635514419823,0.6010475603725032,0.16340869714490042
pima,Support vector,FIML (MissSupport),0.824401467505241,0.012890056231739512,0.6031554933423522,0.16362993244291826
pima,k-nearest neighbours,Drop rows,0.7672082459818309,0.017381788463520193,0.5871224003064169,0.187350819115525
pima,k-nearest neighbours,Drop cols,0.643825995807128,0.03302302361641233,0.4166441934539481,0.23872336813513284
pima,k-nearest neighbours,Mean imp.,0.792651642208246,0.020489117361268027,0.6223794647663343,0.1769506833036245
pima,k-nearest neighbours,kNN imp.,0.7918123689727462,0.018992756216090256,0.5766442875703213,0.17917630082335964
pima,k-nearest neighbours,MICE,0.7885331935709294,0.02137896000899427,0.6107833911596288,0.17975859434682967
pima,k-nearest neighbours,FIML (MissNeighbors),0.7768773584905662,0.016057060882657098,0.5872470564086848,0.1885603758579897
credit,Logistic regression,Drop rows,0.9178625467326794,0.02204790935104009,0.8524743833017079,0.10751388377264863
credit,Logistic regression,Drop cols,0.9220203680924826,0.025323272561986288,0.8515188073543902,0.10251233129873523
credit,Logistic regression,Mean imp.,0.9252206823486292,0.01963542523126106,0.8436233072924428,0.10434079575103697
credit,Logistic regression,kNN imp.,0.9246237438700351,0.01941242754573085,0.842729822942181,0.1052321686524181
credit,Logistic regression,MICE,0.9263707589969105,0.019779804842381857,0.8518854271176683,0.10300406965229994
credit,Logistic regression,FIML (MissLogistic),0.9301129518426132,0.02133858987644222,0.8442315266506769,0.10399749434193806
credit,Generative Gaussian,Drop rows,0.8938022562897316,0.02504804411041399,0.7656254029403792,0.16379151402833908
credit,Generative Gaussian,Drop cols,0.8857936811164009,0.039985581402501934,0.6827396475496607,0.19469743072623374
credit,Generative Gaussian,Mean imp.,0.8932296578425054,0.024190768286790898,0.7656381058554972,0.16411930992856466
credit,Generative Gaussian,kNN imp.,0.8923789992745432,0.024592016020004864,0.7655893932698776,0.16368712523306392
credit,Generative Gaussian,MICE,0.8932737292488468,0.024691168920561623,0.7613665574191891,0.16422118673808087
credit,Generative Gaussian,FIML (MissBayes),0.8891911645369854,0.029113093092969906,0.6590865664549874,0.20747572091826508
credit,Support vector,Drop rows,0.9207756332564984,0.030542316501964553,0.8343442527284137,0.10928477629971549
credit,Support vector,Drop cols,0.9017984694200287,0.040339346104292066,0.849721304502632,0.11686391690695042
credit,Support vector,Mean imp.,0.9175812921805017,0.027837696783521975,0.8436412797869546,0.10807170518991564
credit,Support vector,kNN imp.,0.9187315043775006,0.02865518140100684,0.8432509910881081,0.10758052816199677
credit,Support vector,MICE,0.9178794903223638,0.028046950406774542,0.8436412797869546,0.10732522090469457
credit,Support vector,FIML (MissSupport),0.9191570369845579,0.02875750081907299,0.8375501679596027,0.10711521401499961
credit,k-nearest neighbours,Drop rows,0.853230058163051,0.02081788871219968,0.7677805218296351,0.1522898550724638
credit,k-nearest neighbours,Drop cols,0.9038117519292197,0.0365706098561548,0.8051388728266697,0.12086956521739134
credit,k-nearest neighbours,Mean imp.,0.8533132534475462,0.018331625791764013,0.7669282095786956,0.15200000000000002
credit,k-nearest neighbours,kNN imp.,0.8543985106991314,0.020312571891800104,0.7670364787536501,0.15147826086956523
credit,k-nearest neighbours,MICE,0.8543332846562828,0.01764783750743061,0.7675323112842921,0.15130434782608698
credit,k-nearest neighbours,FIML (MissNeighbors),0.8647399154465173,0.019049844990954055,0.7704919346263999,0.14727364405642904
thyroid,Logistic regression,Drop rows,0.9502144743720959,0.0066095646545772475,0.6296912870411322,0.02950027576124275
thyroid,Logistic regression,Drop cols,0.6445439925912775,0.0622523620999614,0.0,0.05650873569760891
thyroid,Logistic regression,Mean imp.,0.947708621839314,0.006341818107561659,0.6414258206491841,0.028540701043449763
thyroid,Logistic regression,kNN imp.,0.9446659571689036,0.00625478374635406,0.6308867988026285,0.028999920313116268
thyroid,Logistic regression,MICE,0.9522382745578174,0.009135130592788117,0.6335431229548877,0.029069386470099545
thyroid,Logistic regression,FIML (MissLogistic),0.9383576463972808,0.014237059505690383,0.6055213276016798,0.031314501152909846
thyroid,Generative Gaussian,Drop rows,0.8407363484227641,0.021149487653820038,0.1418853629462275,0.6757112859435497
thyroid,Generative Gaussian,Drop cols,0.6265362440138315,0.06332127357182109,0.12174474487891869,0.8613631853411702
thyroid,Generative Gaussian,Mean imp.,0.8458586854260858,0.023455977947300484,0.14130410153920364,0.6786245158307496
thyroid,Generative Gaussian,kNN imp.,0.8441109081692997,0.023699940190948263,0.14275348466250565,0.6709768792479627
thyroid,Generative Gaussian,MICE,0.8441241849453801,0.023756474747543308,0.14449971966404046,0.6607394286579149
thyroid,Generative Gaussian,FIML (MissBayes),0.8394013513017331,0.019543235819822948,0.1434909080974956,0.6552428638759669
thyroid,Support vector,Drop rows,0.9634278396752514,0.0063319564814984875,0.5889458976078694,0.026991672087756314
thyroid,Support vector,Drop cols,0.4864739222438249,0.03156872203672435,0.00851063829787234,0.05750440483962144
thyroid,Support vector,Mean imp.,0.9636289088231944,0.006105828821729026,0.6180460847275434,0.02617261646940916
thyroid,Support vector,kNN imp.,0.9615522349326966,0.008140983804397142,0.59258255414842,0.026630233447536407
thyroid,Support vector,MICE,0.9670301500171021,0.005078828759493248,0.5637455298324864,0.02599802273059449
thyroid,Support vector,FIML (MissSupport),0.9657859306687209,0.005884492497476511,0.6631482766270956,0.026442083519094262
thyroid,k-nearest neighbours,Drop rows,0.8984891736851098,0.004343623307344646,0.5691901915421113,0.032237806313348674
thyroid,k-nearest neighbours,Drop cols,0.5464066280406911,0.04324445273478241,0.008333333333333333,0.0662755037152845
thyroid,k-nearest neighbours,Mean imp.,0.9047874002694705,0.010211936659408526,0.5860790152868771,0.03015915822017672
thyroid,k-nearest neighbours,kNN imp.,0.894345876735421,0.01620532422757225,0.5820350425613585,0.03097503820682629
thyroid,k-nearest neighbours,MICE,0.8864523601985003,0.007167697669825488,0.5515317087101999,0.031834033059883714
thyroid,k-nearest neighbours,FIML (MissNeighbors),0.8920194760191429,0.010257203257265294,0.58161973083833,0.031924971517380885
